,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Recent Rain,Recent Snow,Country,Date
0,Barrow,71.29,-156.79,-14.8,75,1,6.93,clear sky,0.0,0.0,US,2020-02-23 02:28:58
1,Esperance,-33.87,121.9,78.8,57,40,5.82,scattered clouds,0.0,0.0,AU,2020-02-23 02:35:43
2,Rikitea,-23.12,-134.97,79.86,66,12,6.15,few clouds,0.0,0.0,PF,2020-02-23 02:28:59
3,Kulhudhuffushi,6.62,73.07,83.57,76,100,19.51,overcast clouds,0.0,0.0,MV,2020-02-23 02:38:04
4,Punta Arenas,-53.15,-70.92,51.8,66,20,17.22,few clouds,0.0,0.0,CL,2020-02-23 02:28:57
5,Mataura,-46.19,168.86,62.01,74,75,17.0,broken clouds,0.0,0.0,NZ,2020-02-23 02:37:38
6,Puerto Ayora,-0.74,-90.35,78.01,100,67,4.61,light rain,0.94,0.0,EC,2020-02-23 02:33:17
7,Kapaa,22.08,-159.32,80.6,69,20,8.05,few clouds,0.0,0.0,US,2020-02-23 02:34:39
8,Nieuw Amsterdam,5.88,-55.08,78.01,94,40,3.36,scattered clouds,0.0,0.0,SR,2020-02-23 02:38:06
9,Akdepe,42.06,59.38,39.2,93,90,9.17,overcast clouds,0.0,0.0,TM,2020-02-23 02:38:06
10,Jamestown,42.1,-79.24,37.0,43,1,9.17,clear sky,0.0,0.0,US,2020-02-23 02:30:57
11,Vaini,-21.2,-175.2,84.2,79,40,13.87,scattered clouds,0.0,0.0,TO,2020-02-23 02:34:35
12,Hobart,-42.88,147.33,80.01,46,20,12.75,few clouds,0.0,0.0,AU,2020-02-23 02:30:56
13,Airai,-8.93,125.41,83.41,54,0,3.94,clear sky,0.0,0.0,TL,2020-02-23 02:34:48
14,Kodiak,57.79,-152.41,19.4,73,90,11.41,light snow,0.0,0.0,US,2020-02-23 02:29:12
15,Carnarvon,-24.87,113.63,82.4,58,0,8.05,clear sky,0.0,0.0,AU,2020-02-23 02:38:08
16,Ushuaia,-54.8,-68.3,51.8,62,75,29.97,broken clouds,0.0,0.0,AR,2020-02-23 02:37:02
17,Yulara,-25.24,130.99,89.6,11,0,13.87,clear sky,0.0,0.0,AU,2020-02-23 02:34:59
18,Qaanaaq,77.48,-69.36,-13.34,83,98,2.57,overcast clouds,0.0,0.0,GL,2020-02-23 02:35:09
19,Omboue,-1.57,9.26,76.46,92,100,1.63,overcast clouds,0.0,0.0,GA,2020-02-23 02:38:09
20,Hermanus,-34.42,19.23,63.0,88,0,4.0,clear sky,0.0,0.0,ZA,2020-02-23 02:28:57
21,Lata,40.16,-8.33,55.0,93,0,2.24,mist,0.0,0.0,PT,2020-02-23 02:32:30
22,New Norfolk,-42.78,147.06,80.01,46,20,12.75,few clouds,0.0,0.0,AU,2020-02-23 02:34:42
23,Beringovskiy,63.05,179.32,-8.12,93,0,4.23,clear sky,0.0,0.0,RU,2020-02-23 02:31:57
24,Lorengau,-2.02,147.27,83.62,67,0,3.71,clear sky,0.0,0.0,PG,2020-02-23 02:35:11
25,Saint-Philippe,-21.36,55.77,75.2,60,100,8.05,light rain,0.31,0.0,RE,2020-02-23 02:34:48
26,Atuona,-9.8,-139.03,81.77,77,0,12.37,clear sky,0.0,0.0,PF,2020-02-23 02:29:00
27,Massakory,13.0,15.73,69.8,17,0,17.22,clear sky,0.0,0.0,TD,2020-02-23 02:38:12
28,Narsaq,60.92,-46.05,21.2,79,100,10.29,light snow,0.0,0.0,GL,2020-02-23 02:34:56
29,Petukhovo,55.07,67.9,21.42,96,93,0.85,overcast clouds,0.0,0.0,RU,2020-02-23 02:38:13
30,Vila Velha,-20.33,-40.29,77.0,83,90,12.75,thunderstorm,0.0,0.0,BR,2020-02-23 02:37:21
31,Chipinge,-20.19,32.62,67.55,89,100,3.42,overcast clouds,0.0,0.0,ZW,2020-02-23 02:38:13
32,Busselton,-33.65,115.33,84.0,33,99,10.38,overcast clouds,0.0,0.0,AU,2020-02-23 02:29:04
33,Abu Dhabi,24.47,54.37,69.8,88,0,1.12,haze,0.0,0.0,AE,2020-02-23 02:37:04
34,Marrakesh,31.63,-8.01,59.0,38,20,5.82,few clouds,0.0,0.0,MA,2020-02-23 02:32:36
35,Evensk,61.95,159.23,-5.19,93,100,2.44,overcast clouds,0.0,0.0,RU,2020-02-23 02:33:26
36,East London,-33.02,27.91,67.21,67,92,17.0,light rain,0.25,0.0,ZA,2020-02-23 02:34:38
37,Sola,-13.88,167.55,82.81,77,98,14.74,overcast clouds,0.0,0.0,VU,2020-02-23 02:34:58
38,Laibin,23.7,109.27,70.86,65,34,2.73,scattered clouds,0.0,0.0,CN,2020-02-23 02:38:15
39,Novozybkov,52.54,31.93,37.4,96,90,20.13,overcast clouds,0.0,0.0,RU,2020-02-23 02:38:15
40,Kruisfontein,-34.0,24.73,55.51,83,28,1.88,light rain,0.13,0.0,ZA,2020-02-23 02:32:38
41,Yumen,40.28,97.2,38.57,25,0,25.72,clear sky,0.0,0.0,CN,2020-02-23 02:29:30
42,Ulaanbaatar,47.91,106.88,5.0,71,75,2.24,smoke,0.0,0.0,MN,2020-02-23 02:32:43
43,Torbay,47.67,-52.73,28.99,79,90,18.34,light shower snow,0.0,0.0,CA,2020-02-23 02:35:12
44,Mar Del Plata,-38.0,-57.56,60.01,87,0,8.3,clear sky,0.0,0.0,AR,2020-02-23 02:33:44
45,Rochester,43.15,-77.62,39.0,51,20,12.75,few clouds,0.0,0.0,US,2020-02-23 02:38:16
46,Ewa Beach,21.32,-158.01,80.6,57,1,9.17,clear sky,0.0,0.0,US,2020-02-23 02:34:22
47,Pevek,69.7,170.31,-10.39,96,100,10.27,light snow,0.0,0.13,RU,2020-02-23 02:35:52
48,Ust-Kut,56.79,105.77,13.46,92,100,3.8,light snow,0.0,0.13,RU,2020-02-23 02:38:17
49,Beloha,-25.17,45.05,74.52,86,67,7.27,broken clouds,0.0,0.0,MG,2020-02-23 02:36:38
50,Bethel,41.37,-73.41,39.0,58,1,4.23,clear sky,0.0,0.0,US,2020-02-23 02:36:51
51,Cururupu,-1.83,-44.87,73.8,98,94,4.81,moderate rain,8.88,0.0,BR,2020-02-23 02:38:18
52,Valparaiso,-33.04,-71.63,57.2,87,0,3.0,clear sky,0.0,0.0,CL,2020-02-23 02:38:18
53,Minab,27.15,57.08,68.0,88,40,4.7,mist,0.0,0.0,IR,2020-02-23 02:38:18
54,Bambous Virieux,-20.34,57.76,75.2,100,40,2.24,shower rain,0.0,0.0,MU,2020-02-23 02:33:23
55,Grindavik,63.84,-22.43,30.2,80,75,10.29,shower rain,0.0,0.0,IS,2020-02-23 02:35:03
56,Upernavik,72.79,-56.15,-13.61,91,42,2.84,scattered clouds,0.0,0.0,GL,2020-02-23 02:32:02
57,Vila Franca Do Campo,37.72,-25.43,57.2,76,75,5.82,broken clouds,0.0,0.0,PT,2020-02-23 02:28:33
58,Lebu,-37.62,-73.65,50.9,97,5,3.33,clear sky,0.0,0.0,CL,2020-02-23 02:33:42
59,Avarua,-21.21,-159.78,84.2,83,98,6.93,light rain,0.81,0.0,CK,2020-02-23 02:34:25
60,Cabo San Lucas,22.89,-109.91,75.2,38,75,11.41,broken clouds,0.0,0.0,MX,2020-02-23 02:30:12
61,Fukue,32.69,128.84,50.0,43,20,13.87,few clouds,0.0,0.0,JP,2020-02-23 02:38:19
62,Grand Gaube,-20.01,57.66,75.2,100,40,2.24,shower rain,0.0,0.0,MU,2020-02-23 02:33:08
63,Meadow Lake,34.8,-106.54,46.99,100,75,3.36,broken clouds,0.0,0.0,US,2020-02-23 02:38:20
64,Luderitz,-26.65,15.16,66.2,77,0,12.75,clear sky,0.0,0.0,NA,2020-02-23 02:35:27
65,Sumkino,58.11,68.32,16.54,96,95,5.01,overcast clouds,0.0,0.0,RU,2020-02-23 02:38:20
66,Dosso,13.05,3.19,76.6,11,37,14.61,scattered clouds,0.0,0.0,NE,2020-02-23 02:38:21
67,Ilulissat,69.22,-51.1,1.4,45,100,13.87,overcast clouds,0.0,0.0,GL,2020-02-23 02:34:59
68,Saldanha,-33.01,17.94,64.4,63,0,9.17,clear sky,0.0,0.0,ZA,2020-02-23 02:31:43
69,Sibiti,-3.68,13.35,71.15,99,90,1.41,light rain,0.69,0.0,CG,2020-02-23 02:38:21
70,The Valley,18.22,-63.06,77.0,78,3,4.7,light rain,0.19,0.0,AI,2020-02-23 02:36:42
71,Muroto,33.28,134.15,53.6,40,20,8.05,few clouds,0.0,0.0,JP,2020-02-23 02:38:22
72,Albany,42.6,-73.97,30.99,68,20,4.05,few clouds,0.0,0.0,US,2020-02-23 02:28:56
73,Amarillo,35.22,-101.83,59.0,54,1,13.87,clear sky,0.0,0.0,US,2020-02-23 02:33:59
74,Guerrero Negro,27.98,-114.06,59.5,75,82,18.92,broken clouds,0.0,0.0,MX,2020-02-23 02:36:00
75,Ribeira Grande,38.52,-28.7,53.44,80,8,10.07,clear sky,0.0,0.0,PT,2020-02-23 02:34:33
76,Tual,-5.67,132.75,82.72,76,53,14.67,light rain,1.44,0.0,ID,2020-02-23 02:29:36
77,Tasiilaq,65.61,-37.64,14.0,78,0,1.12,clear sky,0.0,0.0,GL,2020-02-23 02:35:06
78,Conde,-7.26,-34.91,80.6,88,20,4.7,few clouds,0.0,0.0,BR,2020-02-23 02:38:23
79,Dingle,11.0,122.67,81.34,69,24,15.93,light rain,0.13,0.0,PH,2020-02-23 02:32:20
80,Opuwo,-18.06,13.84,66.69,29,100,2.39,overcast clouds,0.0,0.0,NA,2020-02-23 02:36:56
81,Bluff,-46.6,168.33,60.53,63,70,14.65,broken clouds,0.0,0.0,NZ,2020-02-23 02:26:12
82,Fortuna,40.6,-124.16,50.0,87,90,5.82,overcast clouds,0.0,0.0,US,2020-02-23 02:32:22
83,Wanning,18.8,110.4,75.11,63,34,8.34,light rain,0.19,0.0,CN,2020-02-23 02:36:36
84,Hamilton,39.18,-84.53,39.2,80,1,3.36,clear sky,0.0,0.0,US,2020-02-23 02:38:24
85,Leningradskiy,69.38,178.42,-12.05,95,100,6.04,overcast clouds,0.0,0.0,RU,2020-02-23 02:33:42
86,Cumberland,35.05,-78.87,39.2,55,1,4.72,clear sky,0.0,0.0,US,2020-02-23 02:35:43
87,Butaritari,3.07,172.79,84.38,77,41,12.08,light rain,1.13,0.0,KI,2020-02-23 02:34:14
88,Crotone,39.09,17.12,43.54,41,100,4.0,overcast clouds,0.0,0.0,IT,2020-02-23 02:38:25
89,Lavrentiya,65.58,-171.0,-15.34,94,0,4.21,clear sky,0.0,0.0,RU,2020-02-23 02:35:40
90,Mahebourg,-20.41,57.7,75.2,100,40,2.24,shower rain,0.0,0.0,MU,2020-02-23 02:34:09
91,Winkler,49.18,-97.94,28.4,100,1,3.36,clear sky,0.0,0.0,CA,2020-02-23 02:35:03
92,Ghanzi,-21.57,21.78,71.24,76,1,5.82,clear sky,0.0,0.0,BW,2020-02-23 02:33:26
93,Rio Verde De Mato Grosso,-18.92,-54.84,70.5,90,100,2.44,overcast clouds,0.0,0.0,BR,2020-02-23 02:38:26
94,Yongan,39.7,113.69,39.0,31,0,8.59,clear sky,0.0,0.0,CN,2020-02-23 02:38:26
95,Chuy,-33.7,-53.46,59.22,88,0,4.97,clear sky,0.0,0.0,UY,2020-02-23 02:34:05
96,Seymour,38.96,-85.89,37.4,73,1,6.22,clear sky,0.0,0.0,US,2020-02-23 02:37:35
97,Hays,30.05,-98.03,57.2,66,90,5.82,overcast clouds,0.0,0.0,US,2020-02-23 02:38:27
98,Kasongo-Lunda,-6.47,16.82,69.12,97,100,1.66,light rain,0.75,0.0,CD,2020-02-23 02:38:28
99,Northam,51.03,-4.22,55.0,95,100,11.01,light rain,2.0,0.0,GB,2020-02-23 02:38:28
100,Zorritos,-3.68,-80.68,89.6,33,75,3.36,broken clouds,0.0,0.0,PE,2020-02-23 02:38:28
101,Ashland,40.82,-82.27,36.0,55,1,10.29,clear sky,0.0,0.0,US,2020-02-23 02:38:28
102,Fethiye,36.62,29.12,48.2,66,75,11.41,broken clouds,0.0,0.0,TR,2020-02-23 02:38:29
103,Spresiano,45.78,12.26,43.0,93,5,5.82,clear sky,0.0,0.0,IT,2020-02-23 02:38:29
104,Tambo,-14.8,-73.92,47.89,95,100,3.94,light rain,2.63,0.0,PE,2020-02-23 02:38:29
105,Eureka,40.8,-124.16,50.0,81,1,6.93,clear sky,0.0,0.0,US,2020-02-23 02:29:38
106,Hithadhoo,-0.6,73.08,83.25,79,100,17.49,overcast clouds,0.0,0.0,MV,2020-02-23 02:33:34
107,Victoria,22.29,114.16,75.99,52,20,14.99,few clouds,0.0,0.0,HK,2020-02-23 02:34:53
108,Yellowknife,62.46,-114.35,0.0,64,75,5.82,broken clouds,0.0,0.0,CA,2020-02-23 02:28:56
109,San Policarpo,12.18,125.51,81.16,74,0,12.24,light rain,0.44,0.0,PH,2020-02-23 02:38:30
110,Castro,-24.79,-50.01,57.97,90,79,9.42,broken clouds,0.0,0.0,BR,2020-02-23 02:34:08
111,Hachinohe,40.5,141.5,41.0,64,75,38.03,light shower snow,0.0,0.0,JP,2020-02-23 02:38:31
112,Linqu,36.52,118.54,55.99,27,0,3.0,clear sky,0.0,0.0,CN,2020-02-23 02:38:31
113,Markala,13.7,-6.07,75.65,12,0,9.51,clear sky,0.0,0.0,ML,2020-02-23 02:38:31
114,Belmonte,-15.86,-38.88,78.8,88,75,5.82,broken clouds,0.0,0.0,BR,2020-02-23 02:34:24
115,Ponta Do Sol,32.67,-17.1,70.0,72,20,20.8,few clouds,0.0,0.0,PT,2020-02-23 02:34:46
116,Plettenberg Bay,-34.05,23.37,61.68,76,73,7.72,light rain,0.25,0.0,ZA,2020-02-23 02:38:32
117,Ippy,6.27,21.22,77.09,15,1,9.13,clear sky,0.0,0.0,CF,2020-02-23 02:38:32
118,Bilma,18.69,12.92,64.94,22,85,14.29,overcast clouds,0.0,0.0,NE,2020-02-23 02:37:22
119,Maldonado,-34.67,-54.92,57.2,87,0,3.36,clear sky,0.0,0.0,UY,2020-02-23 02:36:26
120,Poronaysk,49.22,143.12,23.97,93,100,20.18,light snow,0.0,1.13,RU,2020-02-23 02:38:32
121,Kununurra,-15.77,128.73,96.8,32,17,11.41,few clouds,0.0,0.0,AU,2020-02-23 02:38:33
122,Quixeramobim,-5.2,-39.29,71.47,95,100,3.18,overcast clouds,0.0,0.0,BR,2020-02-23 02:38:33
123,Kalianget,-7.05,113.93,83.62,78,100,12.17,light rain,1.69,0.0,ID,2020-02-23 02:38:33
124,Gusau,12.16,6.66,71.53,15,0,15.59,clear sky,0.0,0.0,NG,2020-02-23 02:29:06
125,Khatanga,71.97,102.5,11.23,78,100,16.13,overcast clouds,0.0,0.0,RU,2020-02-23 02:28:56
126,Kaitangata,-46.28,169.85,64.0,57,94,8.01,overcast clouds,0.0,0.0,NZ,2020-02-23 02:38:34
127,Qaqortoq,60.72,-46.03,21.2,79,100,10.29,light snow,0.0,0.0,GL,2020-02-23 02:38:34
128,Svetlogorsk,52.63,29.73,40.01,81,100,17.0,light rain,0.44,0.0,BY,2020-02-23 02:31:57
129,Namibe,-15.2,12.15,75.56,77,84,12.39,broken clouds,0.0,0.0,AO,2020-02-23 02:32:55
130,Thompson,55.74,-97.86,21.2,62,40,3.36,scattered clouds,0.0,0.0,CA,2020-02-23 02:30:33
131,Nikolskoye,59.7,30.79,39.2,80,90,15.66,overcast clouds,0.0,0.0,RU,2020-02-23 02:34:32
132,Rudnogorsk,57.26,103.75,14.04,91,77,4.83,broken clouds,0.0,0.0,RU,2020-02-23 02:38:35
133,Pasil,17.38,121.13,69.84,62,51,6.08,broken clouds,0.0,0.0,PH,2020-02-23 02:38:35
134,Saskylakh,71.92,114.08,5.07,95,100,9.22,light snow,0.0,0.38,RU,2020-02-23 02:35:30
135,Rabat,33.99,-6.84,64.0,62,0,9.17,clear sky,0.0,0.0,MA,2020-02-23 02:38:36
136,Worland,44.02,-107.96,32.0,79,1,6.93,clear sky,0.0,0.0,US,2020-02-23 02:38:36
137,Curuca,-0.73,-47.85,81.16,83,74,8.61,broken clouds,0.0,0.0,BR,2020-02-23 02:38:36
138,Ixtapa,20.7,-105.2,78.8,83,20,6.93,few clouds,0.0,0.0,MX,2020-02-23 02:38:36
139,Hasaki,35.73,140.83,57.0,35,20,10.29,few clouds,0.0,0.0,JP,2020-02-23 02:29:43
140,Cherskiy,68.75,161.3,-17.18,94,94,5.64,overcast clouds,0.0,0.0,RU,2020-02-23 02:32:58
141,Kumluca,36.37,30.29,43.11,77,37,6.44,scattered clouds,0.0,0.0,TR,2020-02-23 02:38:37
142,Gobabis,-22.45,18.97,71.6,83,100,3.36,light rain,0.69,0.0,NA,2020-02-23 02:34:56
143,Namatanai,-3.67,152.43,86.38,70,100,14.88,overcast clouds,0.0,0.0,PG,2020-02-23 02:36:27
144,Tela,15.78,-87.45,77.0,88,75,2.24,broken clouds,0.0,0.0,HN,2020-02-23 02:38:38
145,Port Alfred,-33.59,26.89,62.01,84,16,1.01,few clouds,0.0,0.0,ZA,2020-02-23 02:34:31
146,Mount Gambier,-37.83,140.77,78.8,39,0,9.17,clear sky,0.0,0.0,AU,2020-02-23 02:30:52
147,Tuktoyaktuk,69.45,-133.04,1.4,84,90,3.36,light snow,0.0,0.0,CA,2020-02-23 02:30:23
148,Almaznyy,48.04,40.05,32.0,99,90,6.71,fog,0.0,0.0,RU,2020-02-23 02:29:39
149,Provideniya,64.38,-173.3,-9.22,82,0,2.42,clear sky,0.0,0.0,RU,2020-02-23 02:34:33
150,Isla Mujeres,21.23,-86.73,68.0,68,75,6.93,broken clouds,0.0,0.0,MX,2020-02-23 02:35:59
151,Formosa Do Rio Preto,-11.05,-45.19,70.57,92,100,0.58,overcast clouds,0.0,0.0,BR,2020-02-23 02:36:21
152,Norsup,-16.07,167.38,86.0,70,75,10.29,broken clouds,0.0,0.0,VU,2020-02-23 02:38:39
153,Bredasdorp,-34.53,20.04,62.6,72,21,5.82,few clouds,0.0,0.0,ZA,2020-02-23 02:34:08
154,Bara,10.37,10.73,69.64,16,0,8.77,clear sky,0.0,0.0,NG,2020-02-23 02:38:40
155,Hilo,19.73,-155.09,80.6,54,1,10.29,clear sky,0.0,0.0,US,2020-02-23 02:33:37
156,Placerville,38.73,-120.8,64.4,36,1,2.73,clear sky,0.0,0.0,US,2020-02-23 02:34:42
157,Tukrah,32.53,20.58,52.95,72,21,29.57,light rain,0.31,0.0,LY,2020-02-23 02:38:41
158,Portland,45.52,-122.68,51.8,66,90,4.7,overcast clouds,0.0,0.0,US,2020-02-23 02:30:54
159,Lagoa,39.05,-27.98,58.55,77,0,13.73,clear sky,0.0,0.0,PT,2020-02-23 02:35:39
160,Cape Town,-33.93,18.42,64.99,72,0,6.93,clear sky,0.0,0.0,ZA,2020-02-23 02:31:03
161,Sinnamary,5.38,-52.95,79.18,86,98,18.48,light rain,0.25,0.0,GF,2020-02-23 02:29:00
162,Amapa,1.0,-52.0,72.82,99,100,1.39,overcast clouds,0.0,0.0,BR,2020-02-23 02:38:42
163,Bern,46.95,7.45,50.0,86,75,1.12,broken clouds,0.0,0.0,CH,2020-02-23 02:34:18
164,Russellville,35.28,-93.13,46.4,39,1,4.7,clear sky,0.0,0.0,US,2020-02-23 02:38:42
165,Bell Ville,-32.63,-62.69,61.0,76,0,6.26,clear sky,0.0,0.0,AR,2020-02-23 02:38:42
166,Burgersdorp,-31.0,26.33,56.21,68,1,15.95,clear sky,0.0,0.0,ZA,2020-02-23 02:38:42
167,Mount Isa,-20.73,139.5,87.8,52,75,10.29,broken clouds,0.0,0.0,AU,2020-02-23 02:33:36
168,Souillac,-20.52,57.52,75.2,100,40,2.24,shower rain,0.0,0.0,MU,2020-02-23 02:37:30
169,Havelock,34.88,-76.9,37.4,74,1,0.96,clear sky,0.0,0.0,US,2020-02-23 02:27:33
170,Aswan,24.09,32.91,53.6,46,27,24.16,scattered clouds,0.0,0.0,EG,2020-02-23 02:32:40
171,Fengzhen,40.44,113.15,35.71,36,0,13.47,clear sky,0.0,0.0,CN,2020-02-23 02:38:43
172,Shelburne,44.08,-80.2,36.0,74,1,14.94,clear sky,0.0,0.0,CA,2020-02-23 02:33:25
173,Kahului,20.89,-156.47,82.4,51,40,11.41,scattered clouds,0.0,0.0,US,2020-02-23 02:35:00
174,Uyuni,-20.46,-66.83,56.21,58,6,9.15,clear sky,0.0,0.0,BO,2020-02-23 02:38:44
175,Haines Junction,60.75,-137.51,7.05,87,18,7.31,few clouds,0.0,0.0,CA,2020-02-23 02:33:13
176,Los Llanos De Aridane,28.66,-17.92,71.6,53,100,14.99,overcast clouds,0.0,0.0,ES,2020-02-23 02:28:59
177,Darhan,49.49,105.92,13.77,84,63,2.37,broken clouds,0.0,0.0,MN,2020-02-23 02:38:45
178,Mandalgovi,45.76,106.27,28.83,49,38,4.41,scattered clouds,0.0,0.0,MN,2020-02-23 02:34:50
179,Katsuura,35.13,140.3,57.2,26,20,10.29,few clouds,0.0,0.0,JP,2020-02-23 02:35:12
180,Shimoda,34.67,138.95,57.99,50,20,17.22,few clouds,0.0,0.0,JP,2020-02-23 02:34:11
181,Samarai,-10.62,150.67,85.93,77,37,4.72,light rain,1.75,0.0,PG,2020-02-23 02:35:07
182,Wasilla,61.58,-149.44,23.0,85,90,3.36,light snow,0.0,0.0,US,2020-02-23 02:38:46
183,Abu Kamal,34.45,40.92,52.66,66,0,3.8,clear sky,0.0,0.0,SY,2020-02-23 02:29:40
184,Koungou,-12.73,45.2,82.4,83,100,5.82,light rain,2.44,0.0,YT,2020-02-23 02:38:46
185,Makakilo City,21.35,-158.09,80.6,57,1,9.17,clear sky,0.0,0.0,US,2020-02-23 02:29:49
